date,MonthlyChange,MovingAverage,RecessionDummy
12/01/2008,,,1
01/01/2009,7900,6500,1
02/01/2009,7700,6167,1
03/01/2009,800,5467,1
04/01/2009,11800,6767,1
05/01/2009,7800,6800,1
06/01/2009,17400,12333,1
07/01/2009,15800,13667,0
08/01/2009,8900,14033,0
09/01/2009,3900,9533,0
10/01/2009,11000,7933,0
11/01/2009,6400,7100,0
12/01/2009,9200,8867,0
01/01/2010,5400,7000,0
02/01/2010,3700,6100,0
03/01/2010,6100,5067,0
04/01/2010,400,3400,0
05/01/2010,21300,9267,0
06/01/2010,3100,8267,0
07/01/2010,6000,10133,0
08/01/2010,5700,4933,0
09/01/2010,1100,4267,0
10/01/2010,4600,3800,0
11/01/2010,2600,2767,0
12/01/2010,6100,4433,0
01/01/2011,5900,4867,0
02/01/2011,2600,4867,0
03/01/2011,3500,4000,0
04/01/2011,1600,2567,0
05/01/2011,1500,2200,0
06/01/2011,-8800,-1900,0
07/01/2011,-2300,-3200,0
08/01/2011,-1100,-4067,0
09/01/2011,-100,-1167,0
10/01/2011,-700,-633,0
11/01/2011,-3000,-1267,0
12/01/2011,-1500,-1733,0
01/01/2012,-5800,-3433,0
02/01/2012,-3700,-3667,0
03/01/2012,1400,-2700,0
04/01/2012,-700,-1000,0
05/01/2012,900,533,0
06/01/2012,-200,0,0
07/01/2012,-8400,-2567,0
08/01/2012,7200,-467,0
09/01/2012,6300,1700,0
10/01/2012,-3900,3200,0
11/01/2012,-600,600,0
12/01/2012,-1500,-2000,0
01/01/2013,-3900,-2000,0
02/01/2013,-2400,-2600,0
03/01/2013,-4100,-3467,0
04/01/2013,-9300,-5267,0
05/01/2013,-10700,-8033,0
06/01/2013,-6800,-8933,0
07/01/2013,-7200,-8233,0
08/01/2013,-7900,-7300,0
09/01/2013,-4900,-6667,0
10/01/2013,-9300,-7367,0
11/01/2013,4200,-3333,0
12/01/2013,-6300,-3800,0
01/01/2014,-5600,-2567,0
02/01/2014,-6300,-6067,0
03/01/2014,-4000,-5300,0
04/01/2014,-2800,-4367,0
05/01/2014,200,-2200,0
06/01/2014,200,-800,0
07/01/2014,200,200,0
08/01/2014,2000,800,0
09/01/2014,-1700,167,0
10/01/2014,700,333,0
11/01/2014,1100,33,0
