year,quarter,impact,recession,total,federal,state_local,consumption
2000,Q1,0.235924204,0,-0.852066228,-0.84,0.33,-0.342066228
2000,Q2,0.322424154,0,0.474280847,0.78,-0.06,-0.245719153
2000,Q3,0.063376964,0,-0.338054818,-0.49,0.18,-0.028054818
2000,Q4,-0.071131824,0,0.431312904,0.06,0.38,0.001312904
2001,Q1,0.439036234,0,1.188606002,0.52,0.58,0.088606002
2001,Q2,0.675892096,1,1.421704296,0.36,0.9,0.151704296
2001,Q3,1.020497308,1,1.040366032,0.15,-0.23,1.120366032
2001,Q4,1.508561872,1,2.38357116,0.3,0.91,1.17357116
2002,Q1,1.811540255,0,2.400519534,0.84,0.44,1.110519534
2002,Q2,2.007419654,0,2.205221891,0.51,0.06,1.625221891
2002,Q3,2.194675352,0,1.789388821,0.26,0.14,1.389388821
2002,Q4,2.021473274,0,1.690762849,0.47,0.12,1.100762849
2003,Q1,1.735031825,0,1.254753738,0.32,-0.22,1.164753738
2003,Q2,1.636702455,0,1.811904413,0.98,-0.24,1.071904413
2003,Q3,1.475860779,0,1.146022115,0,0.2,0.946022115
2003,Q4,1.332082937,0,1.115651483,0.54,-0.06,0.635651483
2004,Q1,1.18398933,0,0.66237931,0.31,0.03,0.32237931
2004,Q2,0.848009849,0,0.467986489,0.17,0.03,0.257986489
2004,Q3,0.597781406,0,0.145108341,0.33,-0.18,-0.004891659
2004,Q4,0.314766633,0,-0.016407609,-0.05,0.02,0.013592391
2005,Q1,0.130917027,0,-0.073019114,0.33,0.06,-0.473019114
2005,Q2,-0.107247479,0,-0.484671531,-0.03,-0.01,-0.444671531
2005,Q3,-0.182170285,0,-0.154582884,0.22,0.03,-0.404582884
2005,Q4,-0.289982445,0,-0.447656252,0.01,0.05,-0.497656252
2006,Q1,-0.165481651,0,0.424984063,0.75,0.21,-0.535015937
2006,Q2,-0.202495792,0,-0.632728095,-0.2,0.18,-0.602728095
2006,Q3,-0.267877766,0,-0.416110782,-0.26,0.15,-0.306110782
2006,Q4,-0.096628097,0,0.237342426,0.43,0.21,-0.402657574
2007,Q1,-0.244700161,0,-0.167304192,-0.16,0.29,-0.297304192
2007,Q2,0.001737024,0,0.353020643,0.48,0.23,-0.356979357
2007,Q3,0.168757381,0,0.251970648,0.25,0.1,-0.098029352
2007,Q4,0.280003767,0,0.68232797,0.48,0.12,0.08232797
2008,Q1,0.370504712,1,0.194699588,0.44,-0.27,0.024699588
2008,Q2,0.984953316,1,2.810815058,0.64,0.04,2.130815058
2008,Q3,1.306616204,1,1.538622203,0.39,0.25,0.898622203
2008,Q4,1.471622904,1,1.342354767,0.41,0.15,0.792354767
2009,Q1,2.27216915,1,3.396884573,0.41,0.51,2.476884573
2009,Q2,2.255557419,1,2.744368133,0.77,0.44,1.524368133
2009,Q3,2.555205806,0,2.737215752,0.31,-0.07,2.507215752
2009,Q4,2.839207182,0,2.478360269,0.52,-0.35,2.308360269
2010,Q1,2.461397578,0,1.885646158,0.39,-0.73,2.215646158
2010,Q2,2.188453488,0,1.652591771,0.46,-0.17,1.352591771
2010,Q3,1.687817634,0,0.734672339,-0.15,-0.43,1.304672339
2010,Q4,1.204008653,0,0.543124343,-0.05,-0.47,1.063124343
2011,Q1,0.420194615,0,-1.249609992,-0.47,-0.54,-0.239609992
2011,Q2,-0.240737204,0,-0.991135507,-0.12,-0.43,-0.441135507
2011,Q3,-0.861644708,0,-1.748957675,-0.72,-0.43,-0.588957675
2011,Q4,-1.160822868,0,-0.653588296,0.14,-0.18,-0.613588296
2012,Q1,-1.115012394,0,-1.066368096,0.01,-0.34,-0.726368096
2012,Q2,-1.111394893,0,-0.976665502,-0.25,-0.15,-0.566665502
2012,Q3,-0.81503677,0,-0.563525187,0.07,-0.18,-0.443525187
2012,Q4,-0.97890806,0,-1.309073455,-0.63,-0.13,-0.549073455
2013,Q1,-1.101812893,0,-1.557987425,-0.71,0.03,-0.877987425
2013,Q2,-1.109398698,0,-1.007008724,-0.24,0.11,-0.877008724
2013,Q3,-1.176059384,0,-0.830167931,-0.43,0.03,-0.430167931
2013,Q4,-1.122525966,0,-1.094939784,-0.5,-0.08,-0.514939784
2014,Q1,-0.968626822,0,-0.942390848,0.03,-0.28,-0.682390848
2014,Q2,-0.826369455,0,-0.437979257,-0.27,0.26,-0.437979257
2014,Q3,-0.570071668,0,0.195023219,0.33,0.18,-0.314976781
2014,Q4,-0.364956414,0,-0.27447877,-0.42,0.35,-0.20447877
2015,Q1,-0.03204987,0,0.389235327,0.15,0.26,-0.010764673
2015,Q2,0.24480805,0,0.669452424,0.07,0.63,-0.030547576
2015,Q3,0.26189531,0,0.263372257,-0.04,0.37,-0.066627743
2015,Q4,0.355913574,0,0.101594288,0.16,-0.03,-0.018405712
2016,Q1,0.426344788,0,0.670960184,0.02,0.58,0.070960184
2016,Q2,0.231002882,0,-0.111915202,-0.1,-0.04,0.038084798
2016,Q3,0.188027731,0,0.091471654,0.11,0.07,-0.078528346
2016,Q4,0.166216075,0,0.014347665,0.03,0,-0.015652335
2017,Q1,-0.015091433,0,-0.054269848,0,-0.13,0.075730152
2017,Q2,0.033262338,0,0.081499882,0.16,-0.15,0.071499882
2017,Q3,-0.022017747,0,-0.129648686,-0.08,-0.1,0.050351314
2017,Q4,0.087025679,0,0.450521369,0.26,0.15,0.040521369
2018,Q1,0.203977758,0,0.413538466,0.17,0.1,0.143538466
2018,Q2,0.344119717,0,0.642067717,0.22,0.15,0.272067717
