date,gdp,gdph,gdppothq,dc,c,ch,gh,gfh,gsh,g,gf,gs
3/31/2016,18325,16572,16850,110,12572,11431,2903,1115,1787,3248,1228,2020
6/30/2016,18538,16664,16918,110.6,12755,11538,2896,1112,1782,3262,1228,2033
9/30/2016,18729,16778,16986,111,12899,11618,2900,1117,1782,3275,1235,2040
12/31/2016,18906,16851,17054,111.6,13057,11702,2901,1115,1784,3287,1235,2051
3/31/2017,19058,16903,17121,112.2,13192,11758,2897,1108,1786,3320,1244,2076
6/30/2017,19250,17031,17189,112.3,13307,11853,2895,1114,1780,3332,1256,2076
9/30/2017,19501,17164,17260,112.7,13429,11917,2900,1117,1781,3357,1264,2093
12/31/2017,19754,17287,17333,113.5,13654,12035,2922,1126,1794,3407,1279,2128
3/31/2018,19960,17372,17412,114.2,13769,12061,2931,1131,1798,3446,1297,2149
6/30/2018,20256,17552,17496,114.7,13924,12137,2953,1145,1807,3500,1321,2180
9/30/2018,20519,17686,17583,115.4,14080,12206,2982,1168,1813,3557,1351,2206
12/30/2018,20771,17817,17672,115.9,14250,12294,3004,1185,1819,3603,1375,2228
3/30/2019,21022,17936,17764,116.4,14422,12386,3016,1191,1824,3644,1394,2250
6/30/2019,21266,18052,17858,117,14599,12480,3020,1190,1830,3669,1397,2272
9/30/2019,21504,18156,17953,117.6,14777,12569,3022,1186,1834,3691,1397,2294
12/30/2019,21738,18252,18049,118.2,14957,12653,3017,1177,1839,3707,1390,2317
3/30/2020,21959,18331,18145,118.8,15141,12744,3000,1154,1843,3713,1375,2339
6/30/2020,22167,18408,18239,119.4,15305,12814,2998,1147,1848,3731,1371,2361
9/30/2020,22374,18483,18334,120.1,15456,12874,3000,1146,1852,3754,1372,2382
12/30/2020,22579,18555,18428,120.7,15612,12937,3004,1145,1856,3779,1375,2404
3/30/2021,22798,18628,18522,121.3,15765,12995,3010,1147,1860,3818,1392,2426
6/30/2021,23006,18700,18615,121.9,15914,13050,3013,1146,1864,3843,1395,2448
9/30/2021,23214,18772,18708,122.6,16068,13109,3016,1145,1868,3867,1397,2470
12/30/2021,23424,18845,18801,123.2,16222,13166,3018,1143,1872,3891,1399,2492
3/30/2022,23650,18919,18894,123.8,16375,13222,3024,1145,1875,3932,1417,2514
6/30/2022,23866,18993,18987,124.5,16534,13281,3025,1143,1879,3955,1418,2537
9/30/2022,24085,19068,19080,125.1,16698,13343,3028,1141,1883,3980,1421,2559
12/30/2022,24307,19144,19172,125.8,16858,13402,3031,1140,1886,4007,1424,2583
3/30/2023,24547,19221,19264,126.4,17016,13457,3038,1144,1890,4052,1446,2606
6/30/2023,24776,19299,19357,127.1,17177,13515,3041,1144,1893,4079,1450,2629
9/30/2023,25011,19380,19449,127.8,17345,13577,3045,1144,1896,4107,1454,2653
12/30/2023,25249,19462,19541,128.4,17519,13643,3048,1144,1900,4135,1459,2676
3/30/2024,25501,19544,19632,129.1,17697,13713,3055,1148,1903,4180,1480,2700
6/30/2024,25743,19628,19723,129.7,17879,13785,3058,1148,1906,4208,1484,2724
9/30/2024,25990,19714,19813,130.4,18064,13858,3061,1148,1909,4237,1489,2748
12/30/2024,26242,19803,19903,131,18253,13934,3065,1148,1912,4265,1494,2771
3/30/2025,26507,19892,19992,131.6,18442,14009,3071,1152,1915,4311,1516,2795
6/30/2025,26760,19979,20080,132.3,18630,14082,3075,1152,1918,4340,1521,2819
9/30/2025,27008,20062,20167,133,18811,14149,3078,1153,1921,4369,1526,2843
12/30/2025,27254,20142,20255,133.6,18986,14211,3082,1153,1924,4399,1532,2868
3/30/2026,27515,20223,20342,134.3,19168,14276,3089,1157,1927,4446,1554,2892
6/30/2026,27766,20304,20429,134.9,19347,14339,3092,1158,1930,4476,1559,2917
9/30/2026,28023,20388,20516,135.6,19531,14405,3096,1158,1934,4506,1565,2941
12/30/2026,28287,20477,20603,136.3,19719,14472,3100,1159,1937,4536,1570,2966
3/30/2027,28571,20570,20691,136.9,19917,14546,3107,1163,1940,4583,1593,2990
6/30/2027,28849,20666,20780,137.6,20122,14624,3111,1164,1943,4614,1599,3015
9/30/2027,29128,20762,20870,138.3,20329,14702,3116,1165,1946,4645,1605,3040
12/30/2027,29408,20856,20961,139,20536,14779,3120,1166,1949,4676,1612,3064
3/30/2028,29699,20947,21052,139.6,20737,14851,3128,1171,1953,4726,1636,3089
6/30/2028,29979,21039,21145,140.3,20944,14925,3133,1173,1956,4757,1643,3114
9/30/2028,30261,21131,21237,141,21152,15000,3138,1175,1959,4790,1651,3139
12/30/2028,30546,21223,21330,141.7,21362,15074,3143,1176,1962,4822,1658,3164
