date,healthproj,ssproj,interestproj,otherproj,healthactj,ssact,interestact,otheract,RecessionDummy
1/1/1975,,,,,1.18,3.95,1.44,14.06,1
1/1/1976,,,,,1.32,4.06,1.49,13.9,0
1/1/1977,,,,,1.4,4.13,1.47,13.17,0
1/1/1978,,,,,1.43,4.06,1.56,13.09,0
1/1/1979,,,,,1.48,3.99,1.66,12.49,0
1/1/1980,,,,,1.61,4.19,1.88,13.46,1
1/1/1981,,,,,1.74,4.39,2.19,13.28,1
1/1/1982,,,,,1.89,4.65,2.57,13.4,1
1/1/1983,,,,,1.98,4.76,2.54,13.55,0
1/1/1984,,,,,1.92,4.45,2.81,12.36,0
1/1/1985,,,,,2.03,4.37,3.03,12.73,0
1/1/1986,,,,,2.06,4.33,3,12.44,0
1/1/1987,,,,,2.11,4.29,2.9,11.7,0
1/1/1988,,,,,2.08,4.21,2.95,11.41,0
1/1/1989,,,,,2.11,4.14,3.03,11.26,0
1/1/1990,,,,,2.3,4.17,3.12,11.59,1
1/1/1991,,,,,2.53,4.37,3.18,11.6,1
1/1/1992,,,,,2.86,4.43,3.1,11.08,0
1/1/1993,,,,,3,4.44,2.92,10.38,0
1/1/1994,,,,,3.11,4.4,2.82,9.98,0
1/1/1995,,,,,3.24,4.4,3.06,9.29,0
1/1/1996,,,,,3.3,4.35,3.02,8.89,0
1/1/1997,,,,,3.34,4.27,2.88,8.39,0
1/1/1998,,,,,3.25,4.2,2.69,8.31,0
1/1/1999,,,,,3.11,4.07,2.42,8.29,0
1/1/2000,,,,,3.09,4,2.2,8.34,0
1/1/2001,,,,,3.28,4.06,1.95,8.33,1
1/1/2002,,,,,3.48,4.16,1.57,9.27,0
1/1/2003,,,,,3.62,4.15,1.35,9.93,0
1/1/2004,,,,,3.69,4.07,1.33,9.89,0
1/1/2005,,,,,3.73,4.02,1.43,9.99,0
1/1/2006,,,,,3.73,3.97,1.66,10.04,0
1/1/2007,,,,,3.96,4.06,1.66,9.37,0
1/1/2008,,,,,4.03,4.15,1.71,10.32,1
1/1/2009,,,,,4.74,4.7,1.3,13.66,1
1/1/2010,,,,,4.92,4.74,1.33,12.39,0
1/1/2011,,,,,4.96,4.71,1.5,12.25,0
1/1/2012,,,,,4.51,4.77,1.37,11.33,0
1/1/2013,,,,,4.62,4.86,1.33,9.97,0
1/1/2014,4.9,4.9,1.3,9.3,4.9,4.9,1.3,9.3,0
1/1/2015,5.1,4.9,1.5,9.4,,,,,0
1/1/2016,5.3,4.9,1.7,9.1,,,,,0
1/1/2017,5.3,4.9,2,8.7,,,,,0
1/1/2018,5.3,5,2.3,8.3,,,,,0
1/1/2019,5.4,5.1,2.6,8.1,,,,,0
1/1/2020,5.6,5.2,2.8,7.9,,,,,0
1/1/2021,5.7,5.3,2.9,7.8,,,,,0
1/1/2022,5.9,5.4,3.1,7.7,,,,,0
1/1/2023,6,5.5,3.2,7.5,,,,,0
1/1/2024,5.9,5.6,3.3,7.3,,,,,0
1/1/2025,6.1,5.7,3.4,7.3,,,,,0
1/1/2026,6.3,5.8,3.5,7.3,,,,,0
1/1/2027,6.3,5.9,3.6,7.3,,,,,0
1/1/2028,6.5,6,3.7,7.2,,,,,0
1/1/2029,6.6,6.1,3.8,7.2,,,,,0
1/1/2030,6.8,6.2,3.9,7.2,,,,,0
1/1/2031,6.9,6.2,4,7.1,,,,,0
1/1/2032,7.1,6.3,4.1,7.1,,,,,0
1/1/2033,7.2,6.3,4.1,7.1,,,,,0
1/1/2034,7.3,6.4,4.2,7,,,,,0
1/1/2035,7.5,6.4,4.3,7,,,,,0
