date,healthproj,ssproj,interestproj,otherproj,healthactj,ssact,interestact,otheract
31-Dec-75,,,,,1.18,3.95,1.44,14.06
31-Dec-76,,,,,1.32,4.06,1.49,13.9
31-Dec-77,,,,,1.4,4.13,1.47,13.17
31-Dec-78,,,,,1.43,4.06,1.56,13.09
31-Dec-79,,,,,1.48,3.99,1.66,12.49
31-Dec-80,,,,,1.61,4.19,1.88,13.46
31-Dec-81,,,,,1.74,4.39,2.19,13.28
31-Dec-82,,,,,1.89,4.65,2.57,13.4
31-Dec-83,,,,,1.98,4.76,2.54,13.55
31-Dec-84,,,,,1.92,4.45,2.81,12.36
31-Dec-85,,,,,2.03,4.37,3.03,12.73
31-Dec-86,,,,,2.06,4.33,3,12.44
31-Dec-87,,,,,2.11,4.29,2.9,11.7
31-Dec-88,,,,,2.08,4.21,2.95,11.41
31-Dec-89,,,,,2.11,4.14,3.03,11.26
31-Dec-90,,,,,2.3,4.17,3.12,11.59
31-Dec-91,,,,,2.53,4.37,3.18,11.6
31-Dec-92,,,,,2.86,4.43,3.1,11.08
31-Dec-93,,,,,3,4.44,2.92,10.38
31-Dec-94,,,,,3.11,4.4,2.82,9.98
31-Dec-95,,,,,3.24,4.4,3.06,9.29
31-Dec-96,,,,,3.3,4.35,3.02,8.89
31-Dec-97,,,,,3.34,4.27,2.88,8.39
31-Dec-98,,,,,3.25,4.2,2.69,8.31
31-Dec-99,,,,,3.11,4.07,2.42,8.29
31-Dec-00,,,,,3.09,4,2.2,8.34
31-Dec-01,,,,,3.28,4.06,1.95,8.33
31-Dec-02,,,,,3.48,4.16,1.57,9.27
31-Dec-03,,,,,3.62,4.15,1.35,9.93
31-Dec-04,,,,,3.69,4.07,1.33,9.89
31-Dec-05,,,,,3.73,4.02,1.43,9.99
31-Dec-06,,,,,3.73,3.97,1.66,10.04
31-Dec-07,,,,,3.96,4.06,1.66,9.37
31-Dec-08,,,,,4.03,4.15,1.71,10.32
31-Dec-09,,,,,4.74,4.7,1.3,13.66
31-Dec-10,,,,,4.92,4.74,1.33,12.39
31-Dec-11,,,,,4.96,4.71,1.5,12.25
31-Dec-12,,,,,4.51,4.77,1.37,11.33
31-Dec-13,,,,,4.62,4.86,1.33,9.97
31-Dec-14,4.9,4.9,1.3,9.3,4.9,,,9.3
31-Dec-15,5.1,4.9,1.5,9.4,,,,
31-Dec-16,5.3,4.9,1.7,9.1,,,,
31-Dec-17,5.3,4.9,2,8.7,,,,
31-Dec-18,5.3,5,2.3,8.3,,,,
31-Dec-19,5.4,5.1,2.6,8.1,,,,
31-Dec-20,5.6,5.2,2.8,7.9,,,,
31-Dec-21,5.7,5.3,2.9,7.8,,,,
31-Dec-22,5.9,5.4,3.1,7.7,,,,
31-Dec-23,6,5.5,3.2,7.5,,,,
31-Dec-24,5.9,5.6,3.3,7.3,,,,
31-Dec-25,6.1,5.7,3.4,7.3,,,,
31-Dec-26,6.3,5.8,3.5,7.3,,,,
31-Dec-27,6.3,5.9,3.6,7.3,,,,
31-Dec-28,6.5,6,3.7,7.2,,,,
31-Dec-29,6.6,6.1,3.8,7.2,,,,
31-Dec-30,6.8,6.2,3.9,7.2,,,,
31-Dec-31,6.9,6.2,4,7.1,,,,
31-Dec-32,7.1,6.3,4.1,7.1,,,,
31-Dec-33,7.2,6.3,4.1,7.1,,,,
31-Dec-34,7.3,6.4,4.2,7,,,,
31-Dec-35,7.5,6.4,4.3,7,,,,
31-Dec-36,7.6,6.4,4.4,7,,,,
31-Dec-37,7.8,6.4,4.5,6.9,,,,
31-Dec-38,7.9,6.4,4.6,6.9,,,,
31-Dec-39,8,6.3,4.7,6.8,,,,
31-Dec-40,8.1,6.3,4.8,6.8,,,,
31-Dec-41,8.2,6.3,4.8,6.8,,,,
31-Dec-42,8.4,6.2,4.9,6.8,,,,
31-Dec-43,8.5,6.2,5,6.7,,,,
31-Dec-44,8.6,6.2,5.1,6.7,,,,
31-Dec-45,8.7,6.2,5.2,6.7,,,,
31-Dec-46,8.8,6.2,5.3,6.6,,,,
31-Dec-47,9,6.2,5.3,6.6,,,,
31-Dec-48,9,6.2,5.4,6.6,,,,
31-Dec-49,9.1,6.2,5.5,6.5,,,,
31-Dec-50,9.3,6.2,5.6,6.5,,,,
31-Dec-51,9.4,6.2,5.7,6.5,,,,
31-Dec-52,9.4,6.2,5.8,6.5,,,,
31-Dec-53,9.6,6.2,5.9,6.4,,,,
31-Dec-54,9.7,6.2,5.9,6.4,,,,
31-Dec-55,9.8,6.3,6,6.4,,,,
31-Dec-56,9.8,6.3,6.1,6.4,,,,
31-Dec-57,10,6.3,6.2,6.3,,,,
31-Dec-58,10.1,6.4,6.3,6.3,,,,
31-Dec-59,10.2,6.4,6.4,6.3,,,,
31-Dec-60,10.3,6.4,6.5,6.3,,,,
31-Dec-61,10.5,6.5,6.6,6.3,,,,
31-Dec-62,10.6,6.5,6.7,6.2,,,,
31-Dec-63,10.7,6.5,6.8,6.2,,,,
31-Dec-64,10.8,6.6,6.9,6.2,,,,
31-Dec-65,11,6.5,7,6.2,,,,
31-Dec-66,11.1,6.6,7.1,6.2,,,,
31-Dec-67,11.2,6.6,7.3,6.1,,,,
31-Dec-68,11.3,6.6,7.4,6.1,,,,
31-Dec-69,11.5,6.6,7.5,6.1,,,,
31-Dec-70,11.6,6.6,7.6,6.1,,,,
31-Dec-71,11.7,6.6,7.7,6.1,,,,
31-Dec-72,11.8,6.6,7.8,6.1,,,,
31-Dec-73,12,6.6,7.9,6,,,,
31-Dec-74,12.1,6.6,8,6,,,,
31-Dec-75,12.2,6.7,8.1,6,,,,
31-Dec-76,12.3,6.6,8.3,6,,,,
31-Dec-77,12.4,6.7,8.3,6,,,,
31-Dec-78,12.6,6.7,8.5,6,,,,
31-Dec-79,12.7,6.7,8.6,5.9,,,,
31-Dec-80,12.8,6.7,8.8,5.9,,,,
31-Dec-81,12.9,6.7,8.9,5.9,,,,
31-Dec-82,13.1,6.7,9,5.9,,,,
31-Dec-83,13.2,6.7,9.2,5.9,,,,
31-Dec-84,13.3,6.8,9.3,5.9,,,,
31-Dec-85,13.4,6.8,9.4,5.9,,,,
31-Dec-86,13.6,6.8,9.6,5.9,,,,
31-Dec-87,13.6,6.8,9.7,5.8,,,,
31-Dec-88,13.8,6.8,9.9,5.8,,,,
31-Dec-89,14,6.9,10,5.8,,,,
